iteration,reward_mean,reward_dev,loss
100,2.6,3.75,5.4684600830078125
200,1.7,2.83,4.779399871826172
300,3.3,4.45,3.7116599082946777
400,1.7,2.83,4.573490142822266
500,2.8,3.6,4.586180210113525
600,3.3,4.45,4.251729965209961
700,4.4,4.61,3.957520008087158
800,2.4,3.88,4.429460048675537
900,1.7,2.83,2.0423998832702637
1000,1.3,3.03,5.071199893951416
1100,0.8,0.6,3.640850067138672
1200,4.4,4.61,2.418529987335205
1300,1.1,3.11,3.306689977645874
1400,2.4,3.88,3.8314099311828613
1500,1.7,2.83,3.673219919204712
1600,1.5,2.94,3.5455100536346436
1700,3.5,4.3,3.34840989112854
1800,1.5,2.94,3.7055599689483643
1900,3.1,4.59,3.2661399841308594
2000,3.3,4.45,3.003230094909668
2100,1.5,2.94,2.9735400676727295
2200,1.7,2.83,2.269700050354004
2300,3.7,4.12,4.326149940490723
2400,1.7,2.83,3.053149938583374
2500,1.5,2.94,1.9351999759674072
2600,1.3,3.03,2.213200092315674
2700,1.9,2.7,2.3271400928497314
2800,0.2,0.98,4.142129898071289
2900,2.6,3.75,1.9760899543762207
3000,3.3,4.45,2.364919900894165
3100,2.4,3.88,2.1405699253082275
3200,2.6,3.75,2.3317999839782715
3300,2.6,3.75,2.5030899047851562
3400,1.5,2.94,2.3277900218963623
3500,3.1,4.59,2.677720069885254
3600,1.7,2.83,3.0451600551605225
3700,0.4,0.92,2.5106399059295654
3800,2.4,3.88,2.36788010597229
3900,2.6,3.75,2.017129898071289
4000,2.6,3.75,2.4435501098632812
4100,2.4,3.88,2.3057100772857666
4200,4.6,4.41,2.306299924850464
4300,2.4,3.88,2.6831600666046143
4400,2.4,3.88,2.5209500789642334
4500,0.9,3.18,2.8556199073791504
4600,1.3,3.03,2.7898199558258057
4700,2.6,3.75,3.3669800758361816
4800,3.5,4.3,2.0075900554656982
4900,1.9,2.7,2.8070600032806396
5000,2.2,3.99,2.858750104904175
5100,2.2,3.99,2.5294198989868164
5200,3.5,4.3,3.0141398906707764
5300,1.5,2.94,2.0179998874664307
5400,0.6,0.8,2.450740098953247
5500,0.2,0.98,2.5703299045562744
5600,3.5,4.3,2.6356000900268555
5700,2.6,3.75,2.5344200134277344
5800,2.4,3.88,2.255270004272461
5900,2.2,3.99,2.338710069656372
6000,0.6,0.8,2.67372989654541
6100,1.7,2.83,2.456120014190674
6200,0.6,0.8,1.937999963760376
6300,1.1,3.11,2.5223801136016846
6400,2.4,3.88,3.1149001121520996
6500,1.5,2.94,2.1087300777435303
6600,2.2,3.99,2.560659885406494
6700,2.6,3.75,1.7115800380706787
6800,5.3,4.73,2.8796799182891846
6900,2.8,3.6,3.1582601070404053
7000,8.2,3.6,2.3160300254821777
7100,2.4,3.88,2.445319890975952
7200,0.4,0.92,2.331399917602539
7300,1.5,2.94,2.1003000736236572
7400,0.2,0.98,3.1243999004364014
7500,1.3,3.03,2.0205299854278564
7600,4.2,4.79,1.9893100261688232
7700,2.6,3.75,1.7544100284576416
7800,2.6,3.75,2.2895898818969727
7900,2.6,3.75,2.9855198860168457
8000,2.6,3.75,2.3396599292755127
8100,3.3,4.45,2.250070095062256
8200,1.7,2.83,1.8544299602508545
8300,2.6,3.75,1.8733700513839722
8400,2.8,3.6,2.093209981918335
8500,2.6,3.75,1.8579200506210327
8600,5.3,4.73,1.8436599969863892
8700,2.6,3.75,2.209130048751831
8800,3.3,4.45,2.2885398864746094
8900,2.8,3.6,1.597309947013855
9000,1.7,2.83,1.8169699907302856
9100,1.7,2.83,2.296099901199341
9200,0.6,0.8,2.1130499839782715
9300,2.6,3.75,1.7754499912261963
9400,4.4,4.61,2.141710042953491
9500,1.5,2.94,2.4466300010681152
9600,0.4,0.92,1.5980299711227417
9700,3.3,4.45,2.2250800132751465
9800,2.4,3.88,2.3703300952911377
9900,1.7,2.83,2.654860019683838
10000,4.6,4.41,2.344559907913208
